Frequency [GHz],S11 [dB],ff,ld, lf, lg, lp, ls, s1, s2, t, wf, wg,wp, ws, z
0.915000021,-0.039224567,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.930000007,-0.041006791,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.944999993,-0.042788943,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.959999979,-0.044571787,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.975000024,-0.046349099,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
0.99000001,-0.048121925,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.004999995,-0.049884957,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.019999981,-0.051638385,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.034999967,-0.053380491,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.049999952,-0.055109363,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.065000057,-0.056824206,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.080000043,-0.058524957,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.095000029,-0.060211146,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.110000014,-0.06188353,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.125,-0.063542241,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.139999986,-0.065188014,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.154999971,-0.066824299,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.169999957,-0.068451883,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.184999943,-0.070071472,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.200000048,-0.071688654,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.215000033,-0.073304493,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.230000019,-0.074923529,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.245000005,-0.076549909,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.25999999,-0.078186872,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.274999976,-0.079840221,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.289999962,-0.08151426,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.304999948,-0.083214714,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.320000052,-0.084947611,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.335000038,-0.086717398,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.350000024,-0.088531048,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.36500001,-0.090394757,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.379999995,-0.092316199,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.394999981,-0.094300509,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.409999967,-0.096354175,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.424999952,-0.098487618,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.440000057,-0.100704912,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.455000043,-0.103013178,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.470000029,-0.105421638,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.485000014,-0.107935874,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.5,-0.110564485,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.514999986,-0.113314507,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.529999971,-0.116192257,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.544999957,-0.119205983,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.559999943,-0.122362435,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.575000048,-0.125669067,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.590000033,-0.129131919,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.605000019,-0.1327587,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.620000005,-0.136554683,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.63499999,-0.140528523,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.649999976,-0.144685497,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.664999962,-0.149030066,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.679999948,-0.153572127,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.695000052,-0.15831504,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.710000038,-0.163266916,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.725000024,-0.168430935,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.74000001,-0.173812905,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.754999995,-0.179419964,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.769999981,-0.185253673,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.784999967,-0.191324622,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.799999952,-0.197634189,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.815000057,-0.20418806,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.830000043,-0.210991633,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.845000029,-0.218049963,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.860000014,-0.225367455,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.875,-0.232949203,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.889999986,-0.240802483,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.904999971,-0.248929889,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.919999957,-0.25733771,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.934999943,-0.266032422,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.950000048,-0.275017893,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.965000033,-0.284300237,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.980000019,-0.293886384,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
1.995000005,-0.303783767,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.00999999,-0.313997411,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.025000095,-0.324533994,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.039999962,-0.335402953,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.055000067,-0.346612099,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.069999933,-0.358169177,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.085000038,-0.370082239,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.099999905,-0.382361699,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.11500001,-0.395017806,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.130000114,-0.408060959,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.144999981,-0.421501552,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.160000086,-0.435351999,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.174999952,-0.449624708,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.190000057,-0.46433276,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.204999924,-0.479489066,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.220000029,-0.495110755,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.234999895,-0.511209214,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.25,-0.527802906,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.265000105,-0.544908352,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.279999971,-0.562541508,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.295000076,-0.580722689,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.309999943,-0.599468989,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.325000048,-0.618800751,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.339999914,-0.638737667,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.355000019,-0.65930209,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.369999886,-0.68051339,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.38499999,-0.702396635,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.400000095,-0.724973541,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.414999962,-0.748268769,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.430000067,-0.772307284,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.444999933,-0.797111801,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.460000038,-0.822710559,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.474999905,-0.849128783,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.49000001,-0.876394371,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.505000114,-0.904533497,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.519999981,-0.933575036,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.535000086,-0.963546169,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.549999952,-0.994478102,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.565000057,-1.026398811,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.579999924,-1.059337775,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.595000029,-1.093328613,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.609999895,-1.12839552,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.625,-1.164574621,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.640000105,-1.201896645,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.654999971,-1.240389723,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.670000076,-1.280088213,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.684999943,-1.321022335,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.700000048,-1.363225799,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.714999914,-1.406732432,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.730000019,-1.451569665,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
2.744999886,-1.497772761,0.4,2,9,8.7,13,22,1,4,0.035,3,6.5,12,22,1.6
